Temperatura,Hora
22.0,12:21:38
22.0,12:21:41
21.9,12:21:44
21.8,12:21:49
21.7,12:21:52
21.6,12:21:55
21.6,12:21:59
21.5,12:22:03
21.4,12:22:07
21.3,12:22:10
21.3,12:22:14
21.2,12:22:17
21.1,12:22:21
21.1,12:22:24
21.0,12:22:28
21.0,12:22:32
21.0,12:22:36
18.2,12:38:04
18.2,12:38:07
18.2,12:38:11
18.2,12:38:14
18.2,12:38:18
18.2,12:38:22
18.2,12:38:25
18.3,12:38:28
18.2,12:38:33
18.2,12:38:36
18.2,12:38:40
18.2,12:38:44
18.2,12:38:47
18.2,12:38:51
18.2,12:38:55
18.3,12:38:58
18.2,12:39:02
18.2,12:39:06
18.3,12:39:09
18.3,12:39:13
18.3,12:39:16
18.3,12:39:20
18.3,12:39:24
18.3,12:39:28
18.3,12:39:31
18.3,12:39:35
18.3,12:39:39
18.3,12:39:42
18.3,12:39:46
18.3,12:39:50
18.3,12:39:53
18.3,12:39:57
18.3,12:40:01
18.3,12:40:04
18.3,12:40:08
18.3,12:40:11
18.5,12:40:15
18.8,12:40:18
19.3,12:40:23
19.8,12:40:26
20.2,12:40:30
20.5,12:40:34
20.8,12:40:37
21.0,12:40:41
21.0,12:40:44
21.1,12:40:48
21.2,12:40:51
21.2,12:40:55
21.2,12:40:59
21.2,12:41:03
21.2,12:41:06
21.1,12:41:10
21.1,12:41:14
21.0,12:41:18
21.0,12:41:21
21.0,12:41:25
21.0,12:41:29
21.0,12:41:32
20.9,12:41:36
20.9,12:41:40
20.8,12:41:43
20.7,12:41:47
20.7,12:41:51
20.6,12:41:54
20.5,12:41:58
20.5,12:42:02
20.4,12:42:05
20.4,12:42:09
20.3,12:42:13
20.3,12:42:16
20.2,12:42:20
20.1,12:42:24
20.1,12:42:27
20.1,12:42:31
20.0,12:42:34
20.0,12:42:38
20.0,12:42:41
20.0,12:42:45
20.0,12:42:48
19.9,12:42:52
19.9,12:42:55
19.8,12:42:59
19.8,12:43:03
19.8,12:43:07
19.7,12:43:11
19.7,12:43:14
19.6,12:43:18
19.6,12:43:22
19.6,12:43:25
19.5,12:43:29
19.5,12:43:33
19.5,12:43:36
19.4,12:43:40
19.4,12:43:44
19.4,12:43:47
19.3,12:43:51
19.3,12:43:55
19.3,12:43:58
19.3,12:44:02
19.2,12:44:05
19.2,12:44:09
19.2,12:44:12
19.2,12:44:16
19.2,12:44:19
18.5,13:35:50
18.5,13:35:54
18.5,13:35:58
18.5,13:36:01
18.5,13:36:04
18.6,13:36:09
18.6,13:36:12
18.6,13:36:15
18.6,13:36:19
18.6,13:36:23
18.6,13:36:26
18.6,13:36:30
18.6,13:36:34
18.6,13:36:38
18.6,13:36:41
18.6,13:36:45
18.6,13:36:49
18.6,13:36:52
18.6,13:36:56
18.6,13:37:00
18.6,13:37:03
18.7,13:37:06
19.0,13:37:11
19.2,13:37:14
19.6,13:37:17
19.9,13:37:21
20.0,13:37:25
20.2,13:37:29
20.3,13:37:33
20.5,13:37:36
20.5,13:37:40
20.6,13:37:44
20.6,13:37:48
20.7,13:37:51
20.7,13:37:55
20.7,13:37:59
20.7,13:38:02
20.7,13:38:06
20.6,13:38:10
20.6,13:38:13
20.6,13:38:17
20.5,13:38:21
20.5,13:38:24
20.5,13:38:28
20.4,13:38:32
20.4,13:38:36
20.3,13:38:39
20.3,13:38:43
20.3,13:38:47
20.2,13:38:50
20.1,13:38:54
20.1,13:38:57
20.1,13:39:01
20.0,13:39:05
20.0,13:39:08
20.0,13:39:11
20.0,13:39:15
20.0,13:39:19
20.0,13:39:23
20.0,13:39:27
19.9,13:39:30
19.9,13:39:34
19.9,13:39:38
19.8,13:39:41
19.8,13:39:45
19.8,13:39:49
19.7,13:39:52
19.7,13:39:56
19.7,13:39:59
19.6,13:40:03
19.6,13:40:07
19.6,13:40:11
19.5,13:40:15
19.5,13:40:18
19.5,13:40:22
19.5,13:40:26
19.4,13:40:29
19.4,13:40:33
19.4,13:40:37
19.4,13:40:40
19.3,13:40:44
19.3,13:40:48
19.3,13:40:51
19.3,13:40:55
19.2,13:40:59
19.2,13:41:03
19.2,13:41:06
19.2,13:41:10
19.2,13:41:14
19.1,13:41:17
19.1,13:41:21
19.1,13:41:25
19.1,13:41:28
19.1,13:41:32
19.1,13:41:36
19.1,13:41:40
19.1,13:41:43
19.1,13:41:47
19.0,13:41:51
19.0,13:41:54
19.0,13:41:58
19.0,13:42:02
19.0,13:42:05
19.0,13:42:08
19.0,13:42:13
19.0,13:42:16
19.0,13:42:20
19.0,13:42:23
19.0,13:42:27
19.0,13:42:31
19.0,13:42:34
19.0,13:42:38
19.0,13:42:41
19.0,13:42:45
19.0,13:42:48
19.0,13:42:52
19.0,13:42:56
19.0,13:43:00
19.0,13:43:04
19.0,13:43:07
19.0,13:43:11
19.0,13:43:15
19.0,13:43:18
19.0,13:43:22
19.0,13:43:26
19.0,13:43:30
19.0,13:43:33
19.0,13:43:37
19.0,13:43:41
19.0,13:43:44
19.0,13:43:48
19.0,13:43:52
19.0,13:43:55
19.0,13:43:59
19.0,13:44:03
18.9,13:44:06
18.9,13:44:10
18.9,13:44:14
18.9,13:44:17
18.9,13:44:21
18.9,13:44:25
18.9,13:44:28
18.9,13:44:32
18.9,13:44:36
18.9,13:44:39
18.9,13:44:43
18.9,13:44:47
18.9,13:44:51
18.9,13:44:54
18.9,13:44:58
18.9,13:45:02
18.9,13:45:05
18.9,13:45:09
18.9,13:45:13
18.9,13:45:16
18.9,13:45:20
18.9,13:45:24
18.8,13:45:27
18.8,13:45:31
18.8,13:45:34
18.8,13:45:38
18.9,13:45:41
18.8,13:45:45
18.8,13:45:49
18.8,13:45:53
18.8,13:45:57
18.8,13:46:00
18.8,13:46:04
18.8,13:46:07
18.8,13:46:11
18.8,13:46:15
18.8,13:46:18
18.8,13:46:22
18.8,13:46:26
18.8,13:46:29
18.8,13:46:32
18.8,13:46:36
18.8,13:46:39
21.4,15:16:57
21.4,15:17:01
21.4,15:17:05
21.3,15:17:09
21.3,15:17:12
21.2,15:17:16
21.2,15:17:20
21.2,15:17:24
21.4,15:17:27
21.9,15:17:31
22.3,15:17:35
23.0,15:17:38
23.4,15:17:42
23.9,15:17:46
24.1,15:17:49
24.4,15:17:53
24.6,15:17:57
24.7,15:18:00
24.8,15:18:04
24.8,15:18:08
24.8,15:18:11
24.8,15:18:15
24.7,15:18:19
24.6,15:18:22
24.6,15:18:26
24.5,15:18:29
24.4,15:18:33
24.3,15:18:37
24.2,15:18:41
24.1,15:18:45
24.0,15:18:48
24.0,15:18:52
23.9,15:18:55
23.9,15:18:59
23.8,15:19:03
23.8,15:19:07
23.7,15:19:10
23.7,15:19:13
23.6,15:19:17
23.5,15:19:21
23.5,15:19:25
23.4,15:19:28
23.3,15:19:32
23.2,15:19:36
23.1,15:19:40
